Airtime,Carrier,Carrier_Delay,Day_of_week,Delay_Minutes,Dest,Distance,Date,Flight_Num,Late_Aircraft_Delay,NAS_Delay,Origin,Security_Delay,Tailnum,Weather_Delay,Temp,Dewpoint,Fog,Hail,Precip,Rain,Pressure,Snow,Thunder,Tornado,Visibility,Windspeed,Dep_hour
100.0,OO,,3,-3.0,IAH,689.0,2011-09-21,5822,,,ATL,,N472CA,,21.1,19.4,0.0,0.0,0.0,1.0,101.67,0.0,0.0,0.0,8.6,2.1,10
68.0,MQ,,4,-4.0,MOB,540.0,2011-01-06,2703,,,DFW,,N629MQ,,3.9,-1.7000000000000002,0.0,0.0,0.0,0.0,101.79,0.0,0.0,0.0,10.0,4.6000000000000005,9
26.0,MQ,,2,2.0,SAN,109.0,2011-11-08,3031,,,LAX,,N857MQ,,10.0,3.3000000000000003,0.0,0.0,0.0,0.0,102.38,0.0,0.0,0.0,10.0,2.1,15
176.0,AA,,6,10.0,BOS,1562.0,2011-12-17,2410,,,DFW,,N3ABAA,,1.7000000000000002,-1.7000000000000002,0.0,0.0,0.0,0.0,103.11,0.0,0.0,0.0,10.0,2.6,11
68.0,WN,2.0,2,11.0,SMF,373.0,2011-03-15,1604,9.0,6.0,LAX,0.0,N631SW,0.0,12.8,11.7,1.0,0.0,0.0,0.0,101.81,0.0,0.0,0.0,7.8,2.6,14
61.0,OO,,6,-3.0,FAT,259.0,2011-10-01,5391,,,LAS,,N292SW,,,,0.0,0.0,-1.0,1.0,,0.0,1.0,0.0,10.0,,8
46.0,WN,,3,-1.0,LAS,255.0,2011-10-12,656,,,PHX,,N506SW,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,,7
146.0,OO,,1,-3.0,EUG,996.0,2011-11-28,5463,,,DEN,,N767SK,,7.800000000000002,-11.7,0.0,0.0,0.0,0.0,101.68,0.0,0.0,0.0,10.0,5.7,12
40.0,UA,,4,-7.0,LAS,236.0,2011-10-20,780,,,LAX,,N849UA,,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.9,,8
72.0,MQ,,6,-13.0,LGA,544.0,2011-06-11,4583,,,CLT,,N8EGMQ,,23.3,18.9,0.0,0.0,0.0,1.0,101.46,0.0,1.0,0.0,9.9,1.5,12
55.0,MQ,,4,-6.0,BTR,383.0,2011-09-22,3284,,,DFW,,N829MQ,,22.200000000000006,15.6,0.0,0.0,-1.0,1.0,101.71,0.0,0.0,0.0,10.0,3.1,20
53.0,DL,,3,-1.0,DAB,366.0,2011-07-13,1221,,,ATL,,N908DE,,35.0,21.700000000000006,0.0,0.0,0.0,1.0,100.97,0.0,1.0,0.0,8.9,5.7,22
35.0,WN,,1,-6.0,ONT,197.0,2011-10-03,1092,,,LAS,,N928WN,,28.9,10.0,0.0,0.0,0.0,1.0,100.76,0.0,1.0,0.0,10.0,1.5,21
129.0,MQ,72.0,2,104.0,CLE,1021.0,2011-03-15,3531,32.0,0.0,DFW,0.0,N519MQ,0.0,13.9,2.2,0.0,0.0,0.0,0.0,102.19,0.0,0.0,0.0,10.0,2.6,19
269.0,WN,,7,1.0,DEN,1754.0,2011-05-01,820,,,BOS,,N451WN,,8.9,2.2,0.0,0.0,0.0,0.0,102.42,0.0,0.0,0.0,10.0,4.6000000000000005,8
126.0,OO,,1,-3.0,BUR,850.0,2011-10-31,6394,,,DEN,,N718SK,,20.6,-8.9,0.0,0.0,0.0,0.0,100.92,0.0,0.0,0.0,10.0,0.0,19
68.0,US,1.0,7,24.0,DCA,399.0,2011-07-17,2043,18.0,0.0,BOS,0.0,N767UW,0.0,32.800000000000004,11.7,0.0,0.0,0.0,0.0,101.75,0.0,0.0,0.0,10.0,8.200000000000001,17
164.0,AA,,5,-4.0,DFW,1121.0,2011-12-02,432,,,MIA,,N5CBAA,,21.1,12.2,0.0,0.0,0.0,0.0,102.1,0.0,0.0,0.0,10.0,3.6,9
31.0,OO,,2,-3.0,SMX,134.0,2011-10-25,6451,,,LAX,,N216SW,,17.2,12.8,0.0,0.0,0.0,1.0,101.69,0.0,0.0,0.0,8.4,3.1,22
66.0,DL,19.0,6,36.0,RIC,481.0,2011-05-21,1560,0.0,0.0,ATL,0.0,N973DL,0.0,31.1,12.8,0.0,0.0,0.0,0.0,101.46,0.0,0.0,0.0,10.0,4.1000000000000005,22
201.0,US,,2,-2.0,PHL,1557.0,2011-06-14,482,,,DEN,,N535UW,,12.8,10.0,0.0,1.0,0.0,1.0,101.13,1.0,1.0,0.0,9.7,0.0,11
223.0,FL,,4,-5.0,ATL,1747.0,2011-09-22,778,,,LAS,,N175AT,,23.3,2.2,0.0,0.0,0.0,0.0,101.09,0.0,0.0,0.0,10.0,2.6,12
