Airtime,Carrier,Carrier_Delay,Day_of_week,Delay_Minutes,Dest,Distance,Date,Flight_Num,Late_Aircraft_Delay,NAS_Delay,Origin,Security_Delay,Tailnum,Weather_Delay,Temp,Dewpoint,Fog,Hail,Precip,Rain,Pressure,Snow,Thunder,Tornado,Visibility,Windspeed,Dep_hour
220.0,UA,,7,-4.0,SNA,1726.0,2012-09-09,1454,,,ORD,,N15710,,20.6,11.1,0.0,0.0,0.0,1.0,101.81,0.0,0.0,0.0,9.9,4.6000000000000005,18
47.0,MQ,,5,-5.0,DTW,235.0,2012-06-15,4027,,,ORD,,N634MQ,,33.300000000000004,10.0,0.0,0.0,0.0,0.0,101.68,0.0,0.0,0.0,10.0,8.200000000000001,21
155.0,AA,,5,-1.0,DFW,1235.0,2012-08-17,2410,,,LAX,,N3HJAA,,21.1,16.7,0.0,0.0,0.0,0.0,101.2,0.0,0.0,0.0,10.0,3.1,6
93.0,US,,2,-4.0,PHL,666.0,2012-05-15,880,,,ATL,,N764US,,24.4,15.0,0.0,0.0,0.0,0.0,101.46,0.0,0.0,0.0,9.5,3.1,19
89.0,EV,,6,-3.0,CVG,507.0,2012-11-24,5460,,,PHL,,N753EV,,3.9,-6.7,0.0,0.0,0.0,1.0,101.09,0.0,0.0,0.0,10.0,5.1000000000000005,11
203.0,DL,,4,0.0,SFO,1589.0,2012-07-19,1332,,,MSP,,N316US,,21.700000000000006,19.4,0.0,0.0,0.0,0.0,101.34,0.0,0.0,0.0,8.6,2.6,7
33.0,AA,,5,-4.0,AUS,190.0,2012-01-20,1616,,,DFW,,N598AA,,18.9,12.2,0.0,0.0,0.0,0.0,100.77,0.0,0.0,0.0,9.5,7.7,17
96.0,DL,,2,-2.0,MCI,629.0,2012-10-09,1961,,,DTW,,N925DL,,16.7,1.7000000000000002,0.0,0.0,0.0,0.0,101.56,0.0,0.0,0.0,9.7,9.3,19
91.0,MQ,,5,1.0,VPS,641.0,2012-07-13,2824,,,DFW,,N668MQ,,34.4,18.3,0.0,0.0,0.0,0.0,101.37,0.0,0.0,0.0,10.0,4.1000000000000005,20
148.0,DL,,7,-6.0,ATL,1199.0,2012-04-01,1516,,,DEN,,N917DN,,16.7,-6.1000000000000005,0.0,0.0,0.0,0.0,99.7,0.0,0.0,0.0,10.0,6.7,6
133.0,UA,,4,-3.0,FLL,1065.0,2012-04-12,1601,,,EWR,,N77510,,14.0,-2.0,0.0,0.0,-1.0,1.0,,0.0,0.0,0.0,10.0,4.1000000000000005,19
36.0,OO,,5,7.0,CPR,230.0,2012-07-06,6486,,,DEN,,N988CA,,23.9,10.6,0.0,0.0,0.0,0.0,101.32,0.0,0.0,0.0,10.0,5.1000000000000005,15
52.0,MQ,,7,-6.0,MRY,266.0,2012-01-22,3027,,,LAX,,N850MQ,,15.0,8.9,0.0,0.0,0.0,0.0,102.14,0.0,0.0,0.0,10.0,2.6,20
50.0,OO,,7,-5.0,YUM,237.0,2012-12-16,5368,,,LAX,,N295SW,,13.3,7.2,0.0,0.0,0.0,1.0,102.13,0.0,0.0,0.0,9.6,4.1000000000000005,17
57.0,US,,4,-6.0,DCA,331.0,2012-10-18,725,,,CLT,,N704US,,17.2,14.4,0.0,0.0,0.0,1.0,101.09,0.0,0.0,0.0,9.6,4.6000000000000005,15
130.0,B6,,3,0.0,ORD,740.0,2012-02-22,905,,,JFK,,N329JB,,5.6000000000000005,2.8000000000000003,0.0,0.0,0.0,0.0,100.93,0.0,0.0,0.0,9.8,3.1,8
94.0,EV,,6,-6.0,MSN,707.0,2012-02-04,5367,,,ATL,,N605QX,,12.2,5.6000000000000005,0.0,0.0,0.0,0.0,102.46,0.0,0.0,0.0,9.7,2.6,15
37.0,AA,,1,-4.0,TPA,204.0,2012-01-09,1938,,,MIA,,N3EGAA,,17.2,14.4,0.0,0.0,0.0,0.0,102.14,0.0,0.0,0.0,10.0,0.0,11
82.0,US,,5,10.0,ORD,599.0,2012-07-06,108,,,CLT,,N601AW,,20.6,18.3,0.0,0.0,0.0,0.0,101.3,0.0,0.0,0.0,10.0,0.0,7
250.0,UA,,3,51.0,PHX,2133.0,2012-03-21,1239,,,EWR,,N37419,,18.9,13.9,0.0,0.0,0.0,1.0,102.61,0.0,0.0,0.0,4.0,2.6,19
,UA,,1,,ORD,733.0,2012-06-25,691,,,LGA,,,,22.0,17.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,9.2,3.6,18
284.0,UA,0.0,6,85.0,EWR,2454.0,2012-01-28,90,79.0,0.0,LAX,0.0,N75851,0.0,11.7,-1.1,0.0,0.0,0.0,0.0,101.99,0.0,0.0,0.0,10.0,0.0,12
100.0,UA,,3,22.0,RSW,861.0,2012-10-10,1588,,,IAH,,N73445,,31.1,21.1,0.0,0.0,0.0,0.0,101.8,0.0,0.0,0.0,9.7,4.1000000000000005,19
132.0,UA,0.0,5,10.0,TPA,1012.0,2012-02-10,265,2.0,10.0,ORD,0.0,N519UA,8.0,1.1,-2.8000000000000003,1.0,0.0,0.0,0.0,101.44,1.0,0.0,0.0,7.5,4.6000000000000005,14
336.0,B6,,2,0.0,BUR,2465.0,2012-04-10,359,,,JFK,,N641JB,,16.1,-2.2,0.0,0.0,0.0,1.0,100.51,0.0,0.0,0.0,10.0,8.200000000000001,18
267.0,UA,,1,-1.0,IAD,2306.0,2012-05-07,916,,,SEA,,N566UA,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,,8
214.0,B6,,3,-2.0,AUS,1521.0,2012-04-04,1061,,,JFK,,N294JB,,11.7,1.1,0.0,0.0,0.0,0.0,100.62,0.0,0.0,0.0,10.0,0.0,8
